CONDITION|CARDIOLOGY|DERMATOLOGY|ENDOCRINOLOGY|GI_HEPATOLOGY|IMMUNO_RHEUMATOLOGY|INFECTIOUS_DISEASES|NEPHROLOGY|NEUROLOGY|PSYCH_GENERAL|PSYCH_SPECIFIC|ONCOLOGY_GENERAL|ONCOLOGY_SPECIFIC|OTOLARYNGOLOGY|PULMONARY_MEDICINE|REPRODUCTIVE_MEDICINE|PAD|PVD|BONE_GENERAL|BONE_SPECIFIC|DIABETES_GENERAL|DIABETES_SPECIFIC|THYROID_GENERAL|HEPATOLOGY_SPECIFIC
Minimal Hepatic Encephalopathy|N|N|N|Y|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|Y||
Mitral Valve Regurgitation|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Myxovirus Infection|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Neurogenic Detrusor Overactivity|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Non Small Cell Lung Cancer (NSCLC)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Non Small Cell Lung Carcinoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Non-small Cell Lung Cancer (NSCLC)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Normal Pressure Hydrocephalus|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Opioid-induced Constipation|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Ovarian Stimulation|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
PCOS|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Pain Relief|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Pancreatic Neoplasm|N|N|Y|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Parastomal Hernia|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Phantom Limb Pain|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Pharmacodynamics|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Plantar Fasciitis|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Polyneuropathy|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Post Operative Analgesia|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Postmenopausal Women|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Postprandial Lipemia|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Progressive Supranuclear Palsy|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Recurrent Childhood Acute Lymphoblastic Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Refractory Hairy Cell Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Rhinosinusitis|N|N|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N
Scar Prevention|N|y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Severe Hemophilia A|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Sexual Dysfunction and Infertility|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Small Intestine Lymphoma|N|N|N|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Smokers|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Squamous Cell Cancer|N|y|N|N|N|N|N|N|N|N|Y|Y|Y|N|Y|N|N|N|N|N|N|N|N
Stage I Adult Diffuse Mixed Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage I Adult Diffuse Small Cleaved Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage I Chronic Lymphocytic Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage I Grade 1 Follicular Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage I Grade 2 Follicular Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage I Grade 3 Follicular Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage I Mantle Cell Lymphoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage II Chronic Lymphocytic Leukemia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage II Prostate Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage III Mycosis Fungoides/Sezary Syndrome|N|y|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage III Prostate Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage IV Mycosis Fungoides/Sezary Syndrome|N|y|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage IV Prostate Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage IV Rectal Cancer|N|N|N|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Stage IV Renal Cell Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Thrombotic Thrombocytopenic Purpura|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Thyroid Carcinoma|N|N|Y|N|N|N|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|Y|N
To Determine Bioequivalence Under Fed Conditions.|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Transfusional Iron Overload|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Transplant|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|M
Ulcers|N|y|N|N|N|N|N|N|N|N|N|N|N|N|N|M|N|N|N|N|N|N|N
Unipolar Depression|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Upper Respiratory Tract Infections|N|N|N|N|N|y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N
Urethral Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Urinary Complications|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Urothelial Cancer|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Vaginal Prolapse|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Vitamin D Status|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Von Willebrand Disease|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Zinc Deficiency|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
ALS|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Acute Asthma|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Acute Kidney Failure|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Acute Mountain Sickness|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Acute Respiratory Infection|N|N|N|N|N|Y|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Adult Acute Megakaryoblastic Leukemia (M7)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adult Acute Monoblastic Leukemia (M5a)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adult Acute Monocytic Leukemia (M5b)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adult Anaplastic Oligodendroglioma|N|N|N|N|N|N|N|Y|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adult Erythroleukemia (M6a)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adult Pure Erythroid Leukemia (M6b)|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced Renal Cell Carcinoma|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced Solid Tumours|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Advanced or Metastatic Solid Tumors|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Adverse Drug Events|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Age-Related Maculopathy|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Anal Fistula|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Angina|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Aortic Valve Disease|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Arterial Occlusive Disease|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Asperger's Disorder|N|N|N|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Attention Deficit Disorder|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Attention Deficit/Hyperactivity Disorder|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Autoimmune Hepatitis|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y
Autosomal Dominant Polycystic Kidney Disease|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Body Dysmorphic Disorder|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|N
Bone Metabolism|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Branch Retinal Vein Occlusion|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Bronchospasm|N|N|N|N|Y|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N
Cancer of the Prostate|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Cancer-related Fatigue|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N
Carcinoid Syndrome|N|N|Y|Y|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Cardiac Catheterization|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Cardiac Disease|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Cardiac Transplantation|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Carotid Artery Stenosis|Y|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N
Cellulite|N|y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Central Nervous System Tumors|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
Cervical Degenerative Disc Disease|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N
Cervical Neoplasia|N|N|N|N|N|N|N|N|N|N|Y|Y|N|N|Y|N|N|N|N|N|N|N|N
Childbirth|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Y|N|N|N|N|N|N|N|N
Childhood Germ Cell Tumor|N|N|Y|N|N|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|N|N|N|N
